"fazenda";"talhao";"area";"matgen";"idade";"parcela";"areaparc";"nfustes";"percfalhas";"percmortas";"percquebradas";"hdom";"areabasal";"ima";"vcomcc";"vcomsc";"vtsc";"vtcc"
1;44;100,79;6;5,15;150;400;1200;5,88;1,96;0;25,07;17,85;38,1;169,39;154,71;172,05;196,19
1;44;100,79;6;5,15;151;400;1250;12,96;11,11;0;25,1;20,09;43,48;198,05;178,36;196,37;223,93
1;46;43,18;6;5,16;152;400;1050;19,23;19,23;0;25;16,66;35,08;158,94;143,13;158,67;180,94
1;46;43,18;6;5,16;153;400;1125;10,2;16,33;0;23,6;15,91;32,43;142,18;128,14;146,7;167,29
1;46;43,18;6;5,16;155;400;1025;16,67;12,5;0;23,9;16,09;33,3;149,4;135,14;150,65;171,78
1;36;115,27;6;4,55;156;400;1150;0;0;0;22,13;17,79;36,32;142,67;123,28;143,76;165,29
1;36;115,27;6;4,55;157;400;975;9,52;0;0;22,05;15,17;30,92;121,32;105;122,38;140,7
1;36;115,27;6;4,55;159;400;1000;4,88;0;0;24,73;20,85;48,07;198,8;175,99;190,25;218,73
1;36;115,27;6;4,55;160;400;1150;0;4,44;0;21,17;16,41;32,45;122,94;110,38;128,43;147,66
1;36;115,27;6;4,55;161;400;975;13,33;0;0;23,32;15,42;33,19;132,95;114,51;131,36;151,03
1;36;115,27;6;4,55;162;400;1000;11,11;0;0;23,92;17,2;38,64;156,27;134,72;152,94;175,84
1;37;160,07;6;4,54;166;400;1025;12,77;0;0;23,5;16,69;36,56;146,6;124,16;144,33;165,94
1;37;160,07;6;4,54;167;400;1225;0;0;0;23,27;15,27;31,23;121,29;105,83;123,3;141,76
1;37;160,07;6;4,54;168;400;1150;0;0;0;22,88;17,51;37,69;149,7;127,75;148,8;171,08
1;37;160,07;6;4,54;171;400;1100;0;0;0;21,4;16,62;34,05;133,15;116,05;134,42;154,55
1;37;160,07;6;4,54;172;400;1125;2,17;0;0;22,55;16,36;33,93;132,31;110,93;133,98;154,04
1;37;160,07;6;4,54;173;400;1025;8,89;0;0;22,08;17,07;35,81;143,92;121,34;141,4;162,57
1;34;116,87;6;4,51;174;400;1150;2,13;0;0;22,47;18,03;37,54;147,73;125,81;147,25;169,29
1;34;116,87;6;4,51;176;400;1125;4,35;0;0;23,02;19,58;41,66;166,7;141,5;163,4;187,87
1;34;116,87;6;4,51;178;400;1175;2,17;0;0;21,95;17,61;35,49;137,63;119,52;139,17;160,01
1;34;116,87;6;4,51;179;400;950;13,64;0;0;23,48;16,96;37,67;150,26;133,76;147,75;169,87
1;34;116,87;6;4,51;181;400;1000;4,76;0;0;21,45;15,24;29,58;113,82;100,38;116,01;133,38
1;52;62,72;6;4,52;182;400;1000;9,3;0;0;23,6;17,72;37,88;153,35;130,5;148,91;171,2
1;52;62,72;6;4,52;183;400;1075;2,27;0;0;22,4;18,63;38,02;153,4;130,92;149,49;171,87
1;52;62,72;6;4,52;184;400;950;9,76;0;0;23,75;17,01;37,26;150,67;131,95;146,51;168,44
1;52;62,72;6;4,52;185;400;1100;2,22;2,22;0;24,35;18,67;42,03;167,21;146,34;165,26;190
1;26;94,06;6;4,56;186;400;1100;6,38;0;0;21,17;16,29;32,39;127,06;111,5;128,35;147,57
1;26;94,06;6;4,56;188;400;1075;10,42;2,08;0;20,9;13,4;24,93;94,7;83,5;98,79;113,58
1;26;94,06;6;4,56;189;400;950;11,63;0;0;22,17;15,94;31,97;128,01;110,11;126,7;145,67
1;26;94,06;6;4,56;190;400;1125;15,38;0;0;20,93;13,16;23,69;85,76;77,27;93,89;107,95
