"frag";"nfrag";"areafrag";"parc";"areaparc";"vtcc"
85;110;305,36;2;1000;11,3974774261127
85;110;305,36;3;1000;12,3561369320314
85;110;305,36;4;1000;11,5615594475214
85;110;305,36;5;1000;13,2356157859426
85;110;305,36;6;1000;7,69943469644828
85;110;305,36;7;1000;7,86112714475789
85;110;305,36;8;1000;6,64308667573933
85;110;305,36;9;1000;10,0782558607615
85;110;305,36;10;1000;10,1898432496439
85;110;305,36;11;1000;11,0033454142999
85;110;305,36;12;1000;7,95863862512964
85;110;305,36;13;1000;14,5682721812318
85;110;305,36;14;1000;9,93151256785384
85;110;305,36;15;1000;6,67226738340526
85;110;305,36;16;1000;10,5748430610299
85;110;305,36;17;1000;11,1684293663478
85;110;305,36;18;1000;13,6115058800526
85;110;305,36;19;1000;8,61675089810347
85;110;305,36;20;1000;9,29645384755955
85;110;305,36;21;1000;9,40593065455115
85;110;305,36;22;1000;7,41396569358056
85;110;305,36;23;1000;9,46729163612774
85;110;305,36;24;1000;10,790052852663
85;110;305,36;25;1000;8,14896599492677
85;110;305,36;26;1000;9,07427213304025
85;110;305,36;27;1000;11,4113148602593
85;110;305,36;28;1000;9,45475996627139
93;110;280,78;1;1000;7,93461448110171
93;110;280,78;2;1000;14,1170022961286
93;110;280,78;3;1000;8,41075255306373
93;110;280,78;4;1000;11,7479346840354
93;110;280,78;5;1000;11,0749362457544
93;110;280,78;6;1000;9,8222340771746
93;110;280,78;7;1000;10,807948402348
93;110;280,78;8;1000;14,6293216497991
93;110;280,78;9;1000;8,64138402143168
93;110;280,78;10;1000;11,6995269183572
93;110;280,78;11;1000;10,290773285841
93;110;280,78;12;1000;9,46943934606416
93;110;280,78;13;1000;10,6065440138461
93;110;280,78;14;1000;13,8744567911581
93;110;280,78;15;1000;11,5631870746423
93;110;280,78;16;1000;10,1046480925405
93;110;280,78;17;1000;8,9001393512219
93;110;280,78;18;1000;12,6249371479309
93;110;280,78;19;1000;10,9525332806224
93;110;280,78;20;1000;14,4297238404056
93;110;280,78;21;1000;14,0260308713771
93;110;280,78;22;1000;14,4052651043286
93;110;280,78;23;1000;6,27791312847112
93;110;280,78;24;1000;14,6000611239907
93;110;280,78;25;1000;13,4965589297652
93;110;280,78;26;1000;8,873434288204
93;110;280,78;27;1000;13,1820752890497
93;110;280,78;28;1000;10,9812094322316
93;110;280,78;29;1000;12,3717404961739
